DEPARTEMENT,INSEE_COMM,NOM_COMM,INTERCOMMUNALITE,ETABLISSEMENT PUBLIC,PAT,PAT Nom du projet,PAT Porteur,PAT Avancement,PAT Date labelisation
BAS-RHIN,67003,Albé,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67022,Bassemberg,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67062,Breitenau,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67063,Breitenbach,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67092,Dieffenbach-au-Val,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67143,Fouchy,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67255,Lalaye,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67280,Maisonsgoutte,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67317,Neubois,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67320,Neuve-Église,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67426,Saint-Martin,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
BAS-RHIN,67427,Saint-Maurice,CC de la Vallée de Villé,PETR Sélestat Alsace Centrale,oui,Alsace centrale,PETR Sélestat Alsace Centrale,En construction,
